,dist_code,district,month,sector,investment in cr,number_of_employees
1185,20_1,Karimnagar,01-03-2022,Food Processing,1.255,26
1186,20_1,Karimnagar,01-03-2022,Engineering,0.6121,26
1187,20_1,Karimnagar,01-03-2022,Wood and Leather,0.09,2
1188,20_1,Karimnagar,01-03-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.325,10
1189,20_1,Karimnagar,01-04-2022,Agro based incl Cold Storages,1.1053,27
1190,20_1,Karimnagar,01-04-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.49,9
1191,20_1,Karimnagar,01-04-2022,Engineering,0.4116,15
1192,20_1,Karimnagar,01-04-2022,Food Processing,0.75,26
1193,20_1,Karimnagar,01-04-2022,Granite and Stone Crushing,4.42,105
1194,20_1,Karimnagar,01-04-2022,Others,8.3883,126
1195,20_1,Karimnagar,01-04-2022,Plastic and Rubber,0.2,5
1196,20_1,Karimnagar,01-05-2022,Agro based incl Cold Storages,0.1,4
1197,20_1,Karimnagar,01-05-2022,Beverages,0.2,8
1198,20_1,Karimnagar,01-05-2022,Engineering,0.7218,33
1199,20_1,Karimnagar,01-05-2022,Granite and Stone Crushing,8.8747,222
1200,20_1,Karimnagar,01-05-2022,Others,8.6643,100
1201,20_1,Karimnagar,01-05-2022,Wood and Leather,0.415,12
1202,20_1,Karimnagar,01-05-2022,Food Processing,0.295,10
1203,20_1,Karimnagar,01-06-2022,Engineering,0.33,14
1204,20_1,Karimnagar,01-06-2022,Paper and Printing,0.17,4
1205,20_1,Karimnagar,01-06-2022,Others,11.0187,139
1206,20_1,Karimnagar,01-06-2022,Granite and Stone Crushing,5.505,150
1207,20_1,Karimnagar,01-06-2022,Food Processing,0.07,2
1208,20_1,Karimnagar,01-07-2022,Granite and Stone Crushing,4.874,120
1209,20_1,Karimnagar,01-07-2022,Food Processing,0.795,37
1210,20_1,Karimnagar,01-07-2022,Engineering,0.8,26
1211,20_1,Karimnagar,01-07-2022,Others,5.9064,163
1212,20_1,Karimnagar,01-07-2022,Plastic and Rubber,0.2306,12
1213,20_1,Karimnagar,01-07-2022,"Real Estate,Industrial Parks and IT Buildings",0.2263,8
1214,20_1,Karimnagar,01-08-2022,Beverages,0.4,10
1215,20_1,Karimnagar,01-08-2022,Engineering,0.5455,18
1216,20_1,Karimnagar,01-08-2022,Wood and Leather,0.4086,8
1217,20_1,Karimnagar,01-08-2022,Others,2.5582,44
1218,20_1,Karimnagar,01-08-2022,Granite and Stone Crushing,4.167,151
1219,20_1,Karimnagar,01-08-2022,Food Processing,1.7451,30
1220,20_1,Karimnagar,01-08-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1735,5
1221,20_1,Karimnagar,01-09-2022,Others,3.0184,49
1222,20_1,Karimnagar,01-09-2022,Granite and Stone Crushing,4.01,105
1223,20_1,Karimnagar,01-09-2022,Food Processing,0.12,2
1224,20_1,Karimnagar,01-09-2022,Engineering,0.545,12
1225,20_1,Karimnagar,01-09-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.67,16
1226,20_1,Karimnagar,01-09-2022,Beverages,0.41,8
1227,20_1,Karimnagar,01-10-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.34,14
1228,20_1,Karimnagar,01-10-2022,Agro based incl Cold Storages,0.352,14
1229,20_1,Karimnagar,01-10-2022,Engineering,0.1382,4
1230,20_1,Karimnagar,01-10-2022,Food Processing,0.2,6
1231,20_1,Karimnagar,01-10-2022,Others,1.02,21
1232,20_1,Karimnagar,01-10-2022,Granite and Stone Crushing,3.018,80
1233,20_1,Karimnagar,01-11-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.302,14
1234,20_1,Karimnagar,01-11-2022,Engineering,0.1065,5
1235,20_1,Karimnagar,01-11-2022,Food Processing,0.6,14
1236,20_1,Karimnagar,01-11-2022,Granite and Stone Crushing,1.771,30
1237,20_1,Karimnagar,01-11-2022,Others,0.32,10
1238,20_1,Karimnagar,01-12-2022,Paper and Printing,0.15,4
1239,20_1,Karimnagar,01-12-2022,Others,3.1888,30
1240,20_1,Karimnagar,01-12-2022,Granite and Stone Crushing,1.8414,15
1241,20_1,Karimnagar,01-12-2022,Food Processing,1.0828,22
1242,20_1,Karimnagar,01-12-2022,Engineering,0.1075,6
1243,20_1,Karimnagar,01-12-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.254,10
1244,20_1,Karimnagar,01-12-2022,Beverages,0.25,4
1245,20_1,Karimnagar,01-01-2023,Beverages,0.5,12
1246,20_1,Karimnagar,01-01-2023,Engineering,0.555,14
1247,20_1,Karimnagar,01-01-2023,Food Processing,1.665,39
1248,20_1,Karimnagar,01-01-2023,Granite and Stone Crushing,1.4719,45
1249,20_1,Karimnagar,01-01-2023,Others,0.25,10
1250,20_1,Karimnagar,01-02-2023,Agro based incl Cold Storages,0.7,8
1251,20_1,Karimnagar,01-02-2023,Beverages,0.1,4
1252,20_1,Karimnagar,01-02-2023,Granite and Stone Crushing,0.75,40
1253,20_1,Karimnagar,01-02-2023,Others,0.74,25
1254,20_1,Karimnagar,01-02-2023,Food Processing,0.535,8
1255,20_1,Karimnagar,01-02-2023,Engineering,0.3444,12
1256,20_1,Karimnagar,01-02-2023,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.21,5
1257,20_1,Karimnagar,01-03-2023,Food Processing,2.145,42
1258,20_1,Karimnagar,01-03-2023,Granite and Stone Crushing,4.1634,90
1259,20_1,Karimnagar,01-03-2023,Others,1.75,20
1260,20_1,Karimnagar,01-03-2023,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.375,10
1261,22_1,Khammam,01-04-2019,Agro based incl Cold Storages,0.57,17
1262,22_1,Khammam,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.0,25
1263,22_1,Khammam,01-04-2019,Food Processing,0.2,4
1264,22_1,Khammam,01-04-2019,Granite and Stone Crushing,4.46,32
1265,22_1,Khammam,01-04-2019,Paper and Printing,0.4,12
1266,22_1,Khammam,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,10
1267,22_1,Khammam,01-05-2019,Engineering,0.39,7
1268,22_1,Khammam,01-05-2019,Agro based incl Cold Storages,0.145,5
1269,22_1,Khammam,01-05-2019,Granite and Stone Crushing,4.0194,76
1270,22_1,Khammam,01-05-2019,Plastic and Rubber,0.2,9
1271,22_1,Khammam,01-06-2019,Engineering,0.28,6
1272,22_1,Khammam,01-06-2019,Agro based incl Cold Storages,0.8588,16
1273,22_1,Khammam,01-06-2019,Beverages,7.7049,0
1274,22_1,Khammam,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,5
1275,22_1,Khammam,01-06-2019,Food Processing,0.1275,5
1276,22_1,Khammam,01-06-2019,Granite and Stone Crushing,0.6,9
1277,22_1,Khammam,01-06-2019,Others,1.29,15
1278,22_1,Khammam,01-06-2019,Paper and Printing,2.03,10
1279,22_1,Khammam,01-07-2019,Textiles,0.15,4
1280,22_1,Khammam,01-07-2019,Others,238.33,70
1281,22_1,Khammam,01-07-2019,Granite and Stone Crushing,4.2474,62
1282,22_1,Khammam,01-07-2019,Food Processing,1.045,6
1283,22_1,Khammam,01-07-2019,Beverages,1.206,8
1284,22_1,Khammam,01-07-2019,Agro based incl Cold Storages,1.265,22
1285,22_1,Khammam,01-08-2019,Pharmaceuticals and Chemicals,0.15,2
1286,22_1,Khammam,01-08-2019,Wood and Leather,0.09,4
1287,22_1,Khammam,01-08-2019,Agro based incl Cold Storages,5.1464,62
1288,22_1,Khammam,01-08-2019,Food Processing,0.45,20
1289,22_1,Khammam,01-08-2019,Granite and Stone Crushing,3.5702,78
1290,22_1,Khammam,01-09-2019,Wood and Leather,1.0119,20
1291,22_1,Khammam,01-09-2019,Granite and Stone Crushing,4.4565,26
1292,22_1,Khammam,01-09-2019,Food Processing,2.185,22
1293,22_1,Khammam,01-09-2019,Engineering,0.025,4
1294,22_1,Khammam,01-09-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8
1295,22_1,Khammam,01-09-2019,Agro based incl Cold Storages,0.9935,18
1296,22_1,Khammam,01-09-2019,Plastic and Rubber,0.56,12
1297,22_1,Khammam,01-10-2019,Beverages,0.12,4
1298,22_1,Khammam,01-10-2019,Granite and Stone Crushing,0.595,36
1299,22_1,Khammam,01-11-2019,Agro based incl Cold Storages,1.1405,15
1300,22_1,Khammam,01-11-2019,Food Processing,0.9375,36
1301,22_1,Khammam,01-11-2019,Granite and Stone Crushing,1.072,62
1302,22_1,Khammam,01-11-2019,Pharmaceuticals and Chemicals,3.6,45
1303,22_1,Khammam,01-11-2019,Engineering,0.187,10
1304,22_1,Khammam,01-11-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.04,8
1305,22_1,Khammam,01-12-2019,Wood and Leather,0.14,4
1306,22_1,Khammam,01-12-2019,Granite and Stone Crushing,1.9965,24
1307,22_1,Khammam,01-12-2019,Food Processing,2.62,16
1308,22_1,Khammam,01-12-2019,Engineering,0.03,2
1309,22_1,Khammam,01-12-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.055,6
1310,22_1,Khammam,01-12-2019,Beverages,0.09,4
1311,22_1,Khammam,01-12-2019,Agro based incl Cold Storages,4.089,68
1312,22_1,Khammam,01-01-2020,Granite and Stone Crushing,2.7242,26
1313,22_1,Khammam,01-01-2020,Food Processing,0.1715,29
1314,22_1,Khammam,01-01-2020,Wood and Leather,0.04,4
1315,22_1,Khammam,01-01-2020,Plastic and Rubber,0.24,8
1316,22_1,Khammam,01-01-2020,Engineering,0.15,8
1317,22_1,Khammam,01-01-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.042,10
1318,22_1,Khammam,01-01-2020,Beverages,0.108,4
1319,22_1,Khammam,01-01-2020,Agro based incl Cold Storages,3.542,42
1320,22_1,Khammam,01-02-2020,Agro based incl Cold Storages,7.5139,54
1321,22_1,Khammam,01-02-2020,Engineering,0.27,4
1322,22_1,Khammam,01-02-2020,Food Processing,0.5699,39
1323,22_1,Khammam,01-02-2020,Granite and Stone Crushing,4.77,41
1324,22_1,Khammam,01-03-2020,Granite and Stone Crushing,12.6499,72
1325,22_1,Khammam,01-03-2020,Food Processing,1.335,9
1326,22_1,Khammam,01-03-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.82,39
1327,22_1,Khammam,01-03-2020,Agro based incl Cold Storages,0.984,20
1328,22_1,Khammam,01-04-2020,Agro based incl Cold Storages,0.6392,10
1329,22_1,Khammam,01-04-2020,Granite and Stone Crushing,2.6465,12
1330,22_1,Khammam,01-05-2020,Granite and Stone Crushing,0.65,12
1331,22_1,Khammam,01-05-2020,Food Processing,0.2,4
1332,22_1,Khammam,01-06-2020,Agro based incl Cold Storages,7.67,40
1333,22_1,Khammam,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.746,14
1334,22_1,Khammam,01-06-2020,Engineering,0.0621,6
1335,22_1,Khammam,01-06-2020,Plastic and Rubber,0.185,6
1336,22_1,Khammam,01-06-2020,Granite and Stone Crushing,2.032,15
1337,22_1,Khammam,01-06-2020,Food Processing,7.09,35
1338,22_1,Khammam,01-07-2020,Granite and Stone Crushing,1.6094,12
1339,22_1,Khammam,01-07-2020,Food Processing,1.045,6
1340,22_1,Khammam,01-07-2020,Agro based incl Cold Storages,0.21,8
1341,22_1,Khammam,01-08-2020,Wood and Leather,1.2,15
1342,22_1,Khammam,01-08-2020,Agro based incl Cold Storages,1.14,18
1343,22_1,Khammam,01-08-2020,Food Processing,1.9579,22
1344,22_1,Khammam,01-08-2020,Granite and Stone Crushing,5.76,32
1345,22_1,Khammam,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6855,29
1346,22_1,Khammam,01-08-2020,Beverages,0.07,2
1347,22_1,Khammam,01-09-2020,R&D,1.2,12
1348,22_1,Khammam,01-09-2020,Granite and Stone Crushing,1.5237,12
1349,22_1,Khammam,01-09-2020,Food Processing,0.8919,13
1350,22_1,Khammam,01-09-2020,Engineering,0.05,2
1351,22_1,Khammam,01-09-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.29,23
1352,22_1,Khammam,01-09-2020,Agro based incl Cold Storages,1.47,36
1353,22_1,Khammam,01-10-2020,Granite and Stone Crushing,0.7204,4
1354,22_1,Khammam,01-10-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0653,42
1355,22_1,Khammam,01-10-2020,Engineering,0.025,2
1356,22_1,Khammam,01-10-2020,Textiles,1.74,40
1357,22_1,Khammam,01-10-2020,Wood and Leather,0.03,4
1358,22_1,Khammam,01-10-2020,Agro based incl Cold Storages,3.3965,37
1359,22_1,Khammam,01-10-2020,Beverages,0.025,2
1360,22_1,Khammam,01-11-2020,Food Processing,2.573,16
1361,22_1,Khammam,01-11-2020,Engineering,0.049,1
1362,22_1,Khammam,01-11-2020,Granite and Stone Crushing,3.1042,37
1363,22_1,Khammam,01-11-2020,Pharmaceuticals and Chemicals,0.41,10
1364,22_1,Khammam,01-11-2020,Beverages,0.136,8
1365,22_1,Khammam,01-11-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0101,39
1366,22_1,Khammam,01-11-2020,Agro based incl Cold Storages,2.2823,35
1367,22_1,Khammam,01-12-2020,Agro based incl Cold Storages,3.5,9
1368,22_1,Khammam,01-12-2020,Wood and Leather,0.065,3
1369,22_1,Khammam,01-12-2020,Food Processing,0.64,10
1370,22_1,Khammam,01-12-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.47,22
1371,22_1,Khammam,01-01-2021,Paper and Printing,0.1194,4
1372,22_1,Khammam,01-01-2021,Pharmaceuticals and Chemicals,0.25,6
1373,22_1,Khammam,01-01-2021,Wood and Leather,0.05,3
1374,22_1,Khammam,01-01-2021,Granite and Stone Crushing,2.48,36
1375,22_1,Khammam,01-01-2021,Food Processing,11.9505,28
1376,22_1,Khammam,01-01-2021,Agro based incl Cold Storages,2.121,28
1377,22_1,Khammam,01-01-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.275,16
1378,22_1,Khammam,01-01-2021,Engineering,2.92,4
1379,22_1,Khammam,01-02-2021,Wood and Leather,0.2,3
1380,22_1,Khammam,01-02-2021,Granite and Stone Crushing,2.64,56
1381,22_1,Khammam,01-02-2021,Agro based incl Cold Storages,2.609,17
1382,22_1,Khammam,01-02-2021,Beverages,0.11,3
1383,22_1,Khammam,01-02-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.127,14
1384,22_1,Khammam,01-02-2021,Food Processing,1.68,18
1385,22_1,Khammam,01-02-2021,Engineering,0.012,2
1386,22_1,Khammam,01-03-2021,Engineering,0.03,4
1387,22_1,Khammam,01-03-2021,Food Processing,6.166,20
1388,22_1,Khammam,01-03-2021,Granite and Stone Crushing,1.135,17
1389,22_1,Khammam,01-03-2021,Pharmaceuticals and Chemicals,0.09,6
1390,22_1,Khammam,01-03-2021,Agro based incl Cold Storages,0.6766,24
1391,22_1,Khammam,01-03-2021,Beverages,0.045,2
1392,22_1,Khammam,01-03-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.29,23
1393,22_1,Khammam,01-04-2021,Granite and Stone Crushing,1.3,6
1394,22_1,Khammam,01-04-2021,Food Processing,3.35,25
1395,22_1,Khammam,01-04-2021,Beverages,0.04,2
1396,22_1,Khammam,01-04-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5125,25
1397,22_1,Khammam,01-04-2021,Engineering,0.38,10
1398,22_1,Khammam,01-04-2021,Agro based incl Cold Storages,2.1534,31
1399,22_1,Khammam,01-05-2021,Agro based incl Cold Storages,0.7144,20
1400,22_1,Khammam,01-05-2021,Beverages,0.06,2
1401,22_1,Khammam,01-05-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.32,12
1402,22_1,Khammam,01-05-2021,Food Processing,0.2,8
1403,22_1,Khammam,01-05-2021,Others,0.25,6
1404,22_1,Khammam,01-06-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,6
1405,22_1,Khammam,01-06-2021,Engineering,0.14,6
1406,22_1,Khammam,01-06-2021,Food Processing,0.75,16
1407,22_1,Khammam,01-06-2021,Agro based incl Cold Storages,8.561,17
1408,22_1,Khammam,01-07-2021,Agro based incl Cold Storages,10.731,27
1409,22_1,Khammam,01-07-2021,Beverages,0.12,3
1410,22_1,Khammam,01-07-2021,Food Processing,1.0,45
1411,22_1,Khammam,01-07-2021,Wood and Leather,0.112,9
1412,22_1,Khammam,01-08-2021,Agro based incl Cold Storages,3.59,18
1413,22_1,Khammam,01-08-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.74,22
1414,22_1,Khammam,01-08-2021,Engineering,0.435,19
1415,22_1,Khammam,01-08-2021,Granite and Stone Crushing,1.41,20
1416,22_1,Khammam,01-08-2021,Food Processing,1.847,13
1417,22_1,Khammam,01-09-2021,Textiles,1.145,70
1418,22_1,Khammam,01-09-2021,Wood and Leather,0.09,6
1419,22_1,Khammam,01-09-2021,Food Processing,6.5725,22
1420,22_1,Khammam,01-09-2021,Engineering,0.92,103
1421,22_1,Khammam,01-09-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3,26
1422,22_1,Khammam,01-09-2021,Pharmaceuticals and Chemicals,0.25,4
1423,22_1,Khammam,01-09-2021,Paper and Printing,0.5055,10
1424,22_1,Khammam,01-09-2021,Agro based incl Cold Storages,10.2312,34
1425,22_1,Khammam,01-09-2021,Beverages,0.3,7
1426,22_1,Khammam,01-10-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.285,10
1427,22_1,Khammam,01-10-2021,Beverages,0.08,2
1428,22_1,Khammam,01-10-2021,Engineering,0.04,2
1429,22_1,Khammam,01-10-2021,Granite and Stone Crushing,3.7,15
1430,22_1,Khammam,01-10-2021,Wood and Leather,0.075,2
1431,22_1,Khammam,01-11-2021,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.08,2
1432,22_1,Khammam,01-11-2021,Engineering,0.02,2
1433,22_1,Khammam,01-11-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.33,18
1434,22_1,Khammam,01-11-2021,Beverages,75.24,50
1435,22_1,Khammam,01-11-2021,Agro based incl Cold Storages,11.5088,23
1436,22_1,Khammam,01-11-2021,Wood and Leather,0.075,3
1437,22_1,Khammam,01-11-2021,Paper and Printing,1.0,20
1438,22_1,Khammam,01-11-2021,Food Processing,3.455,56
1439,22_1,Khammam,01-12-2021,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.11,4
1440,22_1,Khammam,01-12-2021,Food Processing,0.18,4
1441,22_1,Khammam,01-12-2021,Others,0.8802,19
1442,22_1,Khammam,01-12-2021,Wood and Leather,0.12,4
1443,22_1,Khammam,01-12-2021,Pharmaceuticals and Chemicals,6.384,100
1444,22_1,Khammam,01-12-2021,Paper and Printing,0.9376,15
1445,22_1,Khammam,01-12-2021,Agro based incl Cold Storages,2.3437,6
1446,22_1,Khammam,01-01-2022,Agro based incl Cold Storages,0.7006,21
1447,22_1,Khammam,01-01-2022,Others,0.6146,15
1448,22_1,Khammam,01-01-2022,Food Processing,0.772,11
1449,22_1,Khammam,01-01-2022,Engineering,0.04,3
1450,22_1,Khammam,01-01-2022,Granite and Stone Crushing,7.0904,600
1451,22_1,Khammam,01-02-2022,Wood and Leather,0.505,10
1452,22_1,Khammam,01-02-2022,Plastic and Rubber,0.142,3
1453,22_1,Khammam,01-02-2022,Food Processing,2.0696,30
1454,22_1,Khammam,01-02-2022,Beverages,0.117,3
1455,22_1,Khammam,01-02-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0014,22
1456,22_1,Khammam,01-02-2022,Granite and Stone Crushing,4.5504,53
1457,22_1,Khammam,01-02-2022,Engineering,1.8,10
1458,22_1,Khammam,01-02-2022,Others,0.17,4
1459,22_1,Khammam,01-03-2022,Food Processing,10.3636,46
1460,22_1,Khammam,01-03-2022,Agro based incl Cold Storages,0.9253,9
1461,22_1,Khammam,01-03-2022,Engineering,0.3,40
1462,22_1,Khammam,01-03-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8228,55
1463,22_1,Khammam,01-03-2022,Beverages,0.4,4
1464,22_1,Khammam,01-03-2022,Others,0.8,24
1465,22_1,Khammam,01-03-2022,Plastic and Rubber,0.075,8
1466,22_1,Khammam,01-04-2022,Beverages,0.075,2
1467,22_1,Khammam,01-04-2022,Agro based incl Cold Storages,0.08,4
1468,22_1,Khammam,01-04-2022,Others,3.7661,36
1469,22_1,Khammam,01-04-2022,Granite and Stone Crushing,4.861,29
1470,22_1,Khammam,01-04-2022,Food Processing,0.6166,16
1471,22_1,Khammam,01-04-2022,Engineering,0.1767,6
1472,22_1,Khammam,01-04-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7608,60
1473,22_1,Khammam,01-05-2022,Plastic and Rubber,0.2,10
1474,22_1,Khammam,01-05-2022,Granite and Stone Crushing,0.95,6
1475,22_1,Khammam,01-05-2022,Food Processing,7.5977,39
1476,22_1,Khammam,01-06-2022,Food Processing,2.0438,20
1477,22_1,Khammam,01-06-2022,Engineering,0.045,2
1478,22_1,Khammam,01-06-2022,Electrical and Electronic Products,0.18,4
1479,22_1,Khammam,01-06-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6
1480,22_1,Khammam,01-06-2022,Agro based incl Cold Storages,9.8326,14
1481,22_1,Khammam,01-06-2022,Granite and Stone Crushing,8.6184,45
1482,22_1,Khammam,01-06-2022,Plastic and Rubber,0.105,3
1483,22_1,Khammam,01-07-2022,Paper and Printing,0.07,3
1484,22_1,Khammam,01-07-2022,Engineering,0.37,54
1485,22_1,Khammam,01-07-2022,Others,0.22,6
1486,22_1,Khammam,01-07-2022,Agro based incl Cold Storages,32.8046,25
1487,22_1,Khammam,01-07-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.815,6
1488,22_1,Khammam,01-07-2022,Food Processing,3.2744,12
1489,22_1,Khammam,01-07-2022,Plastic and Rubber,0.159,9
1490,22_1,Khammam,01-07-2022,Pharmaceuticals and Chemicals,7.64,25
1491,22_1,Khammam,01-08-2022,Beverages,0.065,2
1492,22_1,Khammam,01-08-2022,Engineering,0.26,5
1493,22_1,Khammam,01-08-2022,Food Processing,3.348,20
1494,22_1,Khammam,01-08-2022,Granite and Stone Crushing,1.8646,10
1495,22_1,Khammam,01-08-2022,Plastic and Rubber,0.125,4
1496,22_1,Khammam,01-08-2022,Paper and Printing,0.0625,2
1497,22_1,Khammam,01-08-2022,Others,0.25,10
1498,22_1,Khammam,01-09-2022,Plastic and Rubber,0.42,6
1499,22_1,Khammam,01-09-2022,Paper and Printing,0.0528,2
1500,22_1,Khammam,01-09-2022,Others,1.255,21
1501,22_1,Khammam,01-09-2022,Granite and Stone Crushing,1.18,20
1502,22_1,Khammam,01-09-2022,Food Processing,16.0778,101
1503,22_1,Khammam,01-09-2022,Engineering,0.08,2
1504,22_1,Khammam,01-09-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3,10
1505,22_1,Khammam,01-10-2022,Food Processing,0.694,32
1506,22_1,Khammam,01-10-2022,Engineering,0.07,4
1507,22_1,Khammam,01-11-2022,Paper and Printing,0.075,3
1508,22_1,Khammam,01-11-2022,Others,0.3795,5
1509,22_1,Khammam,01-11-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5253,23
1510,22_1,Khammam,01-11-2022,Engineering,0.1562,7
1511,22_1,Khammam,01-11-2022,Food Processing,5.4359,98
1512,22_1,Khammam,01-11-2022,Granite and Stone Crushing,3.81,8
1513,22_1,Khammam,01-12-2022,Beverages,0.06,3
1514,22_1,Khammam,01-12-2022,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7044,8
1515,22_1,Khammam,01-12-2022,Engineering,0.4765,9
1516,22_1,Khammam,01-12-2022,Granite and Stone Crushing,0.96,8
1517,22_1,Khammam,01-12-2022,Others,3.0,10
1518,22_1,Khammam,01-12-2022,Paper and Printing,0.075,2
1519,22_1,Khammam,01-12-2022,Wood and Leather,4.5138,10
1520,22_1,Khammam,01-01-2023,Food Processing,1.422,21
1521,22_1,Khammam,01-02-2023,Engineering,1.6476,53
1522,22_1,Khammam,01-02-2023,Granite and Stone Crushing,0.925,20
1523,22_1,Khammam,01-02-2023,Others,0.085,3
1524,22_1,Khammam,01-02-2023,Plastic and Rubber,0.085,4
1525,22_1,Khammam,01-02-2023,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.74,41
1526,22_1,Khammam,01-03-2023,Others,0.5731,12
1527,22_1,Khammam,01-03-2023,Food Processing,0.38,9
1528,22_1,Khammam,01-03-2023,Engineering,0.08,2
1529,22_1,Khammam,01-03-2023,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.055,8
1530,22_1,Khammam,01-03-2023,Agro based incl Cold Storages,0.5967,6
1531,19_4,Kumurambheem Asifabad,01-04-2019,Agro based incl Cold Storages,0.05,5
1532,19_4,Kumurambheem Asifabad,01-04-2019,Food Processing,1.2124,23
1533,19_4,Kumurambheem Asifabad,01-05-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.08,4
1534,19_4,Kumurambheem Asifabad,01-06-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6
1535,19_4,Kumurambheem Asifabad,01-07-2019,Food Processing,0.9795,20
1536,19_4,Kumurambheem Asifabad,01-09-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.395,12
1537,19_4,Kumurambheem Asifabad,01-10-2019,Granite and Stone Crushing,0.0,8
1538,19_4,Kumurambheem Asifabad,01-10-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8
1539,19_4,Kumurambheem Asifabad,01-11-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,8
1540,19_4,Kumurambheem Asifabad,01-11-2019,Engineering,0.22,8
1541,19_4,Kumurambheem Asifabad,01-11-2019,Food Processing,0.1,18
1542,19_4,Kumurambheem Asifabad,01-12-2019,Beverages,0.15,5
1543,19_4,Kumurambheem Asifabad,01-12-2019,Engineering,0.05,3
1544,19_4,Kumurambheem Asifabad,01-12-2019,Food Processing,0.2,12
1545,19_4,Kumurambheem Asifabad,01-01-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.35,14
1546,19_4,Kumurambheem Asifabad,01-01-2020,Engineering,0.13,4
1547,19_4,Kumurambheem Asifabad,01-01-2020,Food Processing,0.05,3
1548,19_4,Kumurambheem Asifabad,01-02-2020,Paper and Printing,65.0,111
1549,19_4,Kumurambheem Asifabad,01-02-2020,Food Processing,0.04,5
1550,19_4,Kumurambheem Asifabad,01-02-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.53,16
1551,19_4,Kumurambheem Asifabad,01-03-2020,Food Processing,0.201,3
1552,19_4,Kumurambheem Asifabad,01-03-2020,Engineering,0.13,3
1553,19_4,Kumurambheem Asifabad,01-05-2020,Food Processing,0.135,2
1554,19_4,Kumurambheem Asifabad,01-06-2020,Paper and Printing,0.43,5
1555,19_4,Kumurambheem Asifabad,01-06-2020,Food Processing,0.31,18
1556,19_4,Kumurambheem Asifabad,01-06-2020,Engineering,0.17,6
1557,19_4,Kumurambheem Asifabad,01-06-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,6
1558,19_4,Kumurambheem Asifabad,01-07-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.01,55
1559,19_4,Kumurambheem Asifabad,01-07-2020,Food Processing,0.06,5
1560,19_4,Kumurambheem Asifabad,01-08-2020,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,10
